"symbol","price","volume","timestamp","anomaly_result","printed_alert","time","diff"
"TSLA","433.59","851242.0","2025-10-26T03:13:23.755966","⚠️ ALERT: TSLA dropped 0.0% to $433.59 (score: 0.00)","⚠️ ALERT: TSLA dropped 0.0% to $433.59 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:33:10.108379","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:37:49.922292","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-25T23:11:55.732118","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:26:03.627226","✓ Normal: GOOGL steady at $259.91 (+0.00%)","✓ Normal: GOOGL steady at $259.91 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-26T03:11:30.315641","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-26T02:01:07.618100","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-26T00:04:06.526776","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-25T23:30:58.854543","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:58:58.338239","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","1761429227788","1"
